,episode,score,avg_score
0,0,16.0,16.0
1,1,15.0,15.5
2,2,14.0,15.0
3,3,13.0,14.5
4,4,11.0,13.8
5,5,19.0,14.666666666666666
6,6,19.0,15.285714285714286
7,7,15.0,15.25
8,8,19.0,15.666666666666666
9,9,11.0,15.2
10,10,15.0,15.181818181818182
11,11,19.0,15.5
12,12,15.0,15.461538461538462
13,13,16.0,15.5
14,14,23.0,16.0
15,15,18.0,16.125
16,16,21.0,16.41176470588235
17,17,3.0,15.666666666666666
18,18,9.0,15.31578947368421
19,19,3.0,14.7
20,20,7.0,14.333333333333334
21,21,20.0,14.590909090909092
22,22,9.0,14.347826086956522
23,23,18.0,14.5
24,24,20.0,14.72
25,25,0.0,14.153846153846153
26,26,15.0,14.185185185185185
27,27,20.0,14.392857142857142
28,28,16.0,14.448275862068966
29,29,11.0,14.333333333333334
30,30,4.0,14.0
31,31,19.0,14.15625
32,32,21.0,14.363636363636363
33,33,17.0,14.441176470588236
34,34,22.0,14.657142857142857
35,35,17.0,14.722222222222221
36,36,17.0,14.783783783783784
37,37,17.0,14.842105263157896
38,38,18.0,14.923076923076923
39,39,17.0,14.975
40,40,18.0,15.048780487804878
41,41,17.0,15.095238095238095
42,42,18.0,15.162790697674419
43,43,11.0,15.068181818181818
44,44,21.0,15.2
45,45,15.0,15.195652173913043
46,46,19.0,15.27659574468085
47,47,19.0,15.354166666666666
48,48,19.0,15.428571428571429
49,49,24.0,15.6
50,50,9.0,15.470588235294118
51,51,21.0,15.576923076923077
52,52,18.0,15.622641509433961
53,53,12.0,15.555555555555555
54,54,14.0,15.527272727272727
55,55,21.0,15.625
56,56,16.0,15.631578947368421
57,57,26.0,15.810344827586206
58,58,18.0,15.847457627118644
59,59,14.0,15.816666666666666
60,60,21.0,15.901639344262295
61,61,14.0,15.870967741935484
62,62,14.0,15.841269841269842
63,63,20.0,15.90625
64,64,19.0,15.953846153846154
65,65,11.0,15.878787878787879
66,66,18.0,15.91044776119403
67,67,18.0,15.941176470588236
68,68,16.0,15.942028985507246
69,69,16.0,15.942857142857143
70,70,21.0,16.014084507042252
71,71,12.0,15.958333333333334
72,72,19.0,16.0
73,73,18.0,16.027027027027028
74,74,16.0,16.026666666666667
75,75,19.0,16.06578947368421
76,76,18.0,16.09090909090909
77,77,16.0,16.08974358974359
78,78,21.0,16.151898734177216
79,79,19.0,16.1875
80,80,17.0,16.19753086419753
81,81,16.0,16.195121951219512
82,82,20.0,16.240963855421686
83,83,18.0,16.261904761904763
84,84,18.0,16.28235294117647
85,85,14.0,16.25581395348837
86,86,10.0,16.183908045977013
