,episode,score,avg_score
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,-1.0,-0.16666666666666666
6,6,1.0,0.0
7,7,1.0,0.125
8,8,-3.0,-0.2222222222222222
9,9,0.0,-0.2
10,10,-1.0,-0.2727272727272727
11,11,3.0,0.0
12,12,1.0,0.07692307692307693
13,13,1.0,0.14285714285714285
14,14,0.0,0.13333333333333333
15,15,1.0,0.1875
16,16,0.0,0.17647058823529413
17,17,-1.0,0.1111111111111111
18,18,-2.0,0.0
19,19,1.0,0.05
20,20,-1.0,0.0
21,21,1.0,0.045454545454545456
22,22,-2.0,-0.043478260869565216
23,23,0.0,-0.041666666666666664
24,24,0.0,-0.04
25,25,1.0,0.0
26,26,0.0,0.0
27,27,2.0,0.07142857142857142
28,28,1.0,0.10344827586206896
29,29,1.0,0.13333333333333333
30,30,0.0,0.12903225806451613
31,31,-1.0,0.09375
32,32,1.0,0.12121212121212122
33,33,0.0,0.11764705882352941
34,34,-3.0,0.02857142857142857
35,35,1.0,0.05555555555555555
36,36,-1.0,0.02702702702702703
37,37,0.0,0.02631578947368421
38,38,-1.0,0.0
39,39,0.0,0.0
40,40,0.0,0.0
41,41,0.0,0.0
42,42,0.0,0.0
43,43,1.0,0.022727272727272728
44,44,0.0,0.022222222222222223
45,45,2.0,0.06521739130434782
46,46,1.0,0.0851063829787234
47,47,0.0,0.08333333333333333
48,48,-1.0,0.061224489795918366
49,49,1.0,0.08
50,50,1.0,0.09803921568627451
51,51,0.0,0.09615384615384616
52,52,0.0,0.09433962264150944
53,53,1.0,0.1111111111111111
54,54,1.0,0.12727272727272726
55,55,-1.0,0.10714285714285714
56,56,0.0,0.10526315789473684
57,57,-2.0,0.06896551724137931
58,58,-1.0,0.05084745762711865
59,59,0.0,0.05
60,60,-1.0,0.03278688524590164
61,61,-1.0,0.016129032258064516
62,62,1.0,0.031746031746031744
63,63,2.0,0.0625
64,64,2.0,0.09230769230769231
65,65,0.0,0.09090909090909091
66,66,0.0,0.08955223880597014
67,67,0.0,0.08823529411764706
68,68,-1.0,0.07246376811594203
69,69,4.0,0.12857142857142856
70,70,3.0,0.16901408450704225
71,71,0.0,0.16666666666666666
72,72,0.0,0.1643835616438356
73,73,1.0,0.17567567567567569
74,74,0.0,0.17333333333333334
75,75,-1.0,0.15789473684210525
76,76,0.0,0.15584415584415584
77,77,1.0,0.16666666666666666
78,78,0.0,0.16455696202531644
79,79,0.0,0.1625
80,80,1.0,0.1728395061728395
81,81,1.0,0.18292682926829268
82,82,-1.0,0.1686746987951807
83,83,-2.0,0.14285714285714285
84,84,0.0,0.1411764705882353
85,85,0.0,0.13953488372093023
86,86,-1.0,0.12643678160919541
87,87,1.0,0.13636363636363635
88,88,2.0,0.15730337078651685
89,89,0.0,0.15555555555555556
90,90,2.0,0.17582417582417584
91,91,1.0,0.18478260869565216
92,92,-1.0,0.17204301075268819
93,93,0.0,0.1702127659574468
94,94,5.0,0.22105263157894736
95,95,0.0,0.21875
96,96,0.0,0.21649484536082475
97,97,1.0,0.22448979591836735
98,98,0.0,0.2222222222222222
99,99,-1.0,0.21
100,100,0.0,0.21
101,101,-1.0,0.2
102,102,0.0,0.2
103,103,0.0,0.2
104,104,2.0,0.22
105,105,1.0,0.24
106,106,4.0,0.27
107,107,1.0,0.27
108,108,-1.0,0.29
109,109,-1.0,0.28
110,110,0.0,0.29
111,111,0.0,0.26
112,112,1.0,0.26
113,113,3.0,0.28
114,114,-1.0,0.27
115,115,-1.0,0.25
116,116,0.0,0.25
117,117,1.0,0.27
118,118,1.0,0.3
119,119,1.0,0.3
120,120,3.0,0.34
121,121,1.0,0.34
122,122,2.0,0.38
123,123,1.0,0.39
124,124,1.0,0.4
125,125,0.0,0.39
126,126,2.0,0.41
127,127,0.0,0.39
128,128,1.0,0.39
129,129,1.0,0.39
130,130,1.0,0.4
131,131,1.0,0.42
132,132,1.0,0.42
133,133,-1.0,0.41
134,134,1.0,0.45
135,135,1.0,0.45
136,136,0.0,0.46
137,137,0.0,0.46
138,138,1.0,0.48
139,139,-1.0,0.47
140,140,0.0,0.47
141,141,3.0,0.5
142,142,2.0,0.52
143,143,4.0,0.55
144,144,-1.0,0.54
145,145,2.0,0.54
146,146,3.0,0.56
147,147,3.0,0.59
148,148,3.0,0.63
149,149,1.0,0.63
150,150,2.0,0.64
151,151,2.0,0.66
152,152,2.0,0.68
153,153,2.0,0.69
154,154,-1.0,0.67
155,155,4.0,0.72
156,156,0.0,0.72
157,157,2.0,0.76
158,158,2.0,0.79
159,159,1.0,0.8
160,160,4.0,0.85
161,161,1.0,0.87
162,162,0.0,0.86
163,163,1.0,0.85
164,164,2.0,0.85
165,165,1.0,0.86
166,166,1.0,0.87
167,167,1.0,0.88
168,168,3.0,0.92
169,169,1.0,0.89
170,170,1.0,0.87
171,171,4.0,0.91
172,172,-1.0,0.9
173,173,2.0,0.91
174,174,2.0,0.93
175,175,3.0,0.97
176,176,3.0,1.0
177,177,1.0,1.0
178,178,1.0,1.01
179,179,1.0,1.02
180,180,2.0,1.03
181,181,1.0,1.03
182,182,5.0,1.09
183,183,-1.0,1.1
184,184,3.0,1.13
185,185,3.0,1.16
186,186,-1.0,1.16
187,187,1.0,1.16
188,188,6.0,1.2
189,189,-1.0,1.19
190,190,3.0,1.2
191,191,2.0,1.21
192,192,2.0,1.24
193,193,2.0,1.26
194,194,3.0,1.24
195,195,5.0,1.29
196,196,-1.0,1.28
197,197,2.0,1.29
198,198,4.0,1.33
199,199,4.0,1.38
200,200,1.0,1.39
201,201,4.0,1.44
202,202,5.0,1.49
203,203,7.0,1.56
204,204,8.0,1.62
205,205,3.0,1.64
206,206,4.0,1.64
207,207,5.0,1.68
208,208,5.0,1.74
209,209,8.0,1.83
210,210,7.0,1.9
211,211,1.0,1.91
212,212,5.0,1.95
213,213,5.0,1.97
214,214,3.0,2.01
215,215,2.0,2.04
216,216,2.0,2.06
217,217,3.0,2.08
218,218,3.0,2.1
219,219,7.0,2.16
220,220,9.0,2.22
221,221,5.0,2.26
222,222,4.0,2.28
223,223,1.0,2.28
224,224,3.0,2.3
225,225,5.0,2.35
226,226,4.0,2.37
227,227,7.0,2.44
228,228,1.0,2.44
229,229,3.0,2.46
230,230,6.0,2.51
231,231,6.0,2.56
232,232,4.0,2.59
233,233,4.0,2.64
234,234,1.0,2.64
235,235,5.0,2.68
236,236,10.0,2.78
237,237,6.0,2.84
238,238,3.0,2.86
239,239,1.0,2.88
240,240,5.0,2.93
241,241,7.0,2.97
242,242,5.0,3.0
243,243,10.0,3.06
244,244,1.0,3.08
245,245,6.0,3.12
246,246,9.0,3.18
247,247,2.0,3.17
248,248,4.0,3.18
249,249,3.0,3.2
250,250,5.0,3.23
251,251,6.0,3.27
252,252,6.0,3.31
253,253,7.0,3.36
254,254,1.0,3.38
255,255,5.0,3.39
256,256,6.0,3.45
257,257,1.0,3.44
258,258,-1.0,3.41
259,259,11.0,3.51
260,260,7.0,3.54
261,261,7.0,3.6
262,262,6.0,3.66
263,263,8.0,3.73
264,264,1.0,3.72
265,265,3.0,3.74
266,266,4.0,3.77
267,267,3.0,3.79
268,268,6.0,3.82
269,269,7.0,3.88
270,270,10.0,3.97
271,271,4.0,3.97
272,272,7.0,4.05
273,273,6.0,4.09
274,274,8.0,4.15
