,episode,score,avg_score
0,0,19.0,19.0
1,1,25.0,22.0
2,2,19.0,21.0
3,3,14.0,19.25
4,4,15.0,18.4
5,5,1.0,15.5
6,6,17.0,15.714285714285714
7,7,5.0,14.375
8,8,16.0,14.555555555555555
9,9,16.0,14.7
10,10,19.0,15.090909090909092
11,11,16.0,15.166666666666666
12,12,15.0,15.153846153846153
13,13,13.0,15.0
14,14,20.0,15.333333333333334
15,15,18.0,15.5
16,16,16.0,15.529411764705882
17,17,13.0,15.38888888888889
18,18,0.0,14.578947368421053
19,19,11.0,14.4
20,20,14.0,14.380952380952381
21,21,16.0,14.454545454545455
22,22,17.0,14.565217391304348
23,23,17.0,14.666666666666666
24,24,14.0,14.64
25,25,5.0,14.26923076923077
26,26,7.0,14.0
27,27,2.0,13.571428571428571
28,28,16.0,13.655172413793103
29,29,18.0,13.8
30,30,17.0,13.903225806451612
31,31,14.0,13.90625
32,32,14.0,13.909090909090908
33,33,5.0,13.647058823529411
34,34,17.0,13.742857142857142
35,35,8.0,13.583333333333334
36,36,16.0,13.64864864864865
37,37,17.0,13.736842105263158
38,38,19.0,13.871794871794872
39,39,13.0,13.85
40,40,17.0,13.926829268292684
41,41,19.0,14.047619047619047
42,42,15.0,14.069767441860465
43,43,-1.0,13.727272727272727
44,44,17.0,13.8
45,45,15.0,13.826086956521738
46,46,15.0,13.851063829787234
47,47,8.0,13.729166666666666
48,48,18.0,13.816326530612244
49,49,3.0,13.6
50,50,11.0,13.549019607843137
51,51,9.0,13.461538461538462
52,52,16.0,13.50943396226415
53,53,11.0,13.462962962962964
54,54,21.0,13.6
55,55,13.0,13.589285714285714
56,56,17.0,13.649122807017545
57,57,12.0,13.620689655172415
58,58,20.0,13.728813559322035
59,59,17.0,13.783333333333333
60,60,1.0,13.573770491803279
61,61,16.0,13.612903225806452
62,62,10.0,13.555555555555555
63,63,1.0,13.359375
64,64,13.0,13.353846153846154
65,65,16.0,13.393939393939394
66,66,22.0,13.522388059701493
67,67,13.0,13.514705882352942
68,68,17.0,13.565217391304348
69,69,19.0,13.642857142857142
70,70,10.0,13.591549295774648
71,71,20.0,13.680555555555555
72,72,15.0,13.698630136986301
73,73,12.0,13.675675675675675
74,74,14.0,13.68
