,episode,score,avg_score
0,0,0.0,0.0
1,1,1.0,0.5
2,2,-1.0,0.0
3,3,-1.0,-0.25
4,4,0.0,-0.2
5,5,0.0,-0.16666666666666666
6,6,0.0,-0.14285714285714285
7,7,-1.0,-0.25
8,8,1.0,-0.1111111111111111
9,9,0.0,-0.1
10,10,-2.0,-0.2727272727272727
11,11,0.0,-0.25
12,12,0.0,-0.23076923076923078
13,13,3.0,0.0
14,14,0.0,0.0
15,15,1.0,0.0625
16,16,2.0,0.17647058823529413
17,17,-2.0,0.05555555555555555
18,18,2.0,0.15789473684210525
19,19,0.0,0.15
20,20,0.0,0.14285714285714285
21,21,0.0,0.13636363636363635
22,22,1.0,0.17391304347826086
23,23,0.0,0.16666666666666666
24,24,-1.0,0.12
25,25,1.0,0.15384615384615385
26,26,1.0,0.18518518518518517
27,27,0.0,0.17857142857142858
28,28,2.0,0.2413793103448276
29,29,0.0,0.23333333333333334
30,30,-1.0,0.1935483870967742
31,31,0.0,0.1875
32,32,-1.0,0.15151515151515152
33,33,1.0,0.17647058823529413
34,34,-1.0,0.14285714285714285
35,35,1.0,0.16666666666666666
36,36,-1.0,0.13513513513513514
37,37,0.0,0.13157894736842105
38,38,1.0,0.15384615384615385
39,39,-1.0,0.125
40,40,0.0,0.12195121951219512
41,41,-1.0,0.09523809523809523
42,42,2.0,0.13953488372093023
43,43,-2.0,0.09090909090909091
44,44,1.0,0.1111111111111111
45,45,0.0,0.10869565217391304
46,46,-1.0,0.0851063829787234
47,47,1.0,0.10416666666666667
48,48,-2.0,0.061224489795918366
49,49,1.0,0.08
50,50,0.0,0.0784313725490196
51,51,2.0,0.11538461538461539
52,52,1.0,0.1320754716981132
53,53,1.0,0.14814814814814814
54,54,-1.0,0.12727272727272726
55,55,0.0,0.125
56,56,3.0,0.17543859649122806
57,57,-1.0,0.15517241379310345
58,58,2.0,0.1864406779661017
59,59,-2.0,0.15
60,60,2.0,0.18032786885245902
61,61,2.0,0.20967741935483872
62,62,0.0,0.20634920634920634
63,63,-2.0,0.171875
64,64,3.0,0.2153846153846154
65,65,0.0,0.21212121212121213
66,66,0.0,0.208955223880597
67,67,4.0,0.2647058823529412
68,68,2.0,0.2898550724637681
69,69,-2.0,0.2571428571428571
70,70,0.0,0.2535211267605634
71,71,2.0,0.2777777777777778
72,72,2.0,0.3013698630136986
73,73,-2.0,0.2702702702702703
74,74,2.0,0.29333333333333333
75,75,0.0,0.2894736842105263
76,76,1.0,0.2987012987012987
77,77,0.0,0.2948717948717949
78,78,1.0,0.3037974683544304
79,79,0.0,0.3
80,80,1.0,0.30864197530864196
81,81,3.0,0.34146341463414637
82,82,2.0,0.3614457831325301
83,83,1.0,0.36904761904761907
84,84,3.0,0.4
85,85,0.0,0.3953488372093023
86,86,0.0,0.39080459770114945
87,87,1.0,0.3977272727272727
88,88,0.0,0.39325842696629215
89,89,0.0,0.3888888888888889
90,90,3.0,0.4175824175824176
91,91,1.0,0.42391304347826086
92,92,1.0,0.43010752688172044
93,93,1.0,0.43617021276595747
94,94,-1.0,0.42105263157894735
95,95,0.0,0.4166666666666667
96,96,4.0,0.4536082474226804
97,97,1.0,0.45918367346938777
98,98,2.0,0.47474747474747475
99,99,2.0,0.49
100,100,0.0,0.49
101,101,1.0,0.49
102,102,1.0,0.51
103,103,0.0,0.52
104,104,0.0,0.52
105,105,4.0,0.56
106,106,0.0,0.56
107,107,3.0,0.6
108,108,0.0,0.59
109,109,-1.0,0.58
110,110,3.0,0.63
111,111,3.0,0.66
112,112,1.0,0.67
113,113,2.0,0.66
114,114,2.0,0.68
115,115,4.0,0.71
116,116,8.0,0.77
117,117,1.0,0.8
118,118,-1.0,0.77
119,119,7.0,0.84
120,120,5.0,0.89
121,121,4.0,0.93
122,122,2.0,0.94
123,123,1.0,0.95
124,124,2.0,0.98
125,125,1.0,0.98
126,126,6.0,1.03
127,127,-2.0,1.01
128,128,2.0,1.01
129,129,5.0,1.06
130,130,0.0,1.07
131,131,3.0,1.1
132,132,2.0,1.13
133,133,1.0,1.13
134,134,3.0,1.17
135,135,4.0,1.2
136,136,3.0,1.24
137,137,4.0,1.28
138,138,7.0,1.34
139,139,4.0,1.39
140,140,3.0,1.42
141,141,6.0,1.49
142,142,3.0,1.5
143,143,5.0,1.57
144,144,2.0,1.58
145,145,1.0,1.59
146,146,5.0,1.65
147,147,9.0,1.73
148,148,4.0,1.79
149,149,8.0,1.86
150,150,4.0,1.9
151,151,1.0,1.89
152,152,8.0,1.96
153,153,8.0,2.03
154,154,3.0,2.07
155,155,5.0,2.12
156,156,5.0,2.14
157,157,3.0,2.18
158,158,4.0,2.2
159,159,7.0,2.29
160,160,7.0,2.34
161,161,8.0,2.4
162,162,2.0,2.42
163,163,5.0,2.49
164,164,7.0,2.53
165,165,0.0,2.53
166,166,4.0,2.57
167,167,4.0,2.57
168,168,4.0,2.59
169,169,4.0,2.65
170,170,2.0,2.67
171,171,5.0,2.7
172,172,3.0,2.71
173,173,10.0,2.83
174,174,7.0,2.88
175,175,8.0,2.96
176,176,11.0,3.06
177,177,9.0,3.15
178,178,5.0,3.19
179,179,3.0,3.22
180,180,6.0,3.27
181,181,2.0,3.26
182,182,5.0,3.29
183,183,9.0,3.37
184,184,8.0,3.42
185,185,5.0,3.47
186,186,8.0,3.55
187,187,1.0,3.55
188,188,4.0,3.59
189,189,10.0,3.69
190,190,6.0,3.72
191,191,7.0,3.78
192,192,8.0,3.85
193,193,12.0,3.96
194,194,8.0,4.05
195,195,4.0,4.09
196,196,8.0,4.13
197,197,7.0,4.19
198,198,4.0,4.21
199,199,4.0,4.23
200,200,3.0,4.26
201,201,8.0,4.33
