,episode,score,avg_score
0,0,12.0,12.0
1,1,13.0,12.5
2,2,18.0,14.333333333333334
3,3,7.0,12.5
4,4,20.0,14.0
5,5,9.0,13.166666666666666
6,6,3.0,11.714285714285714
7,7,18.0,12.5
8,8,19.0,13.222222222222221
9,9,18.0,13.7
10,10,6.0,13.0
11,11,11.0,12.833333333333334
12,12,20.0,13.384615384615385
13,13,24.0,14.142857142857142
14,14,16.0,14.266666666666667
15,15,19.0,14.5625
16,16,10.0,14.294117647058824
17,17,15.0,14.333333333333334
18,18,10.0,14.105263157894736
19,19,0.0,13.4
20,20,8.0,13.142857142857142
21,21,23.0,13.590909090909092
22,22,15.0,13.652173913043478
23,23,15.0,13.708333333333334
24,24,17.0,13.84
25,25,18.0,14.0
26,26,22.0,14.296296296296296
27,27,21.0,14.535714285714286
28,28,14.0,14.517241379310345
29,29,17.0,14.6
30,30,15.0,14.612903225806452
31,31,7.0,14.375
32,32,20.0,14.545454545454545
33,33,20.0,14.705882352941176
34,34,19.0,14.82857142857143
35,35,16.0,14.86111111111111
36,36,14.0,14.837837837837839
37,37,18.0,14.921052631578947
38,38,17.0,14.974358974358974
39,39,15.0,14.975
40,40,18.0,15.048780487804878
41,41,7.0,14.857142857142858
42,42,16.0,14.883720930232558
43,43,10.0,14.772727272727273
44,44,21.0,14.911111111111111
45,45,13.0,14.869565217391305
46,46,13.0,14.829787234042554
47,47,21.0,14.958333333333334
48,48,17.0,15.0
49,49,19.0,15.08
50,50,16.0,15.098039215686274
51,51,18.0,15.153846153846153
52,52,20.0,15.245283018867925
53,53,10.0,15.148148148148149
54,54,20.0,15.236363636363636
55,55,17.0,15.267857142857142
56,56,14.0,15.24561403508772
57,57,12.0,15.189655172413794
58,58,19.0,15.254237288135593
59,59,16.0,15.266666666666667
60,60,14.0,15.245901639344263
61,61,17.0,15.274193548387096
62,62,16.0,15.285714285714286
63,63,9.0,15.1875
64,64,20.0,15.261538461538462
65,65,13.0,15.227272727272727
66,66,20.0,15.298507462686567
67,67,21.0,15.382352941176471
68,68,14.0,15.36231884057971
69,69,9.0,15.271428571428572
