,episode,score,avg_score
0,0,1.0,1.0
1,1,0.0,0.5
2,2,0.0,0.3333333333333333
3,3,1.0,0.5
4,4,0.0,0.4
5,5,0.0,0.3333333333333333
6,6,-1.0,0.14285714285714285
7,7,-1.0,0.0
8,8,-2.0,-0.2222222222222222
9,9,0.0,-0.2
10,10,1.0,-0.09090909090909091
11,11,1.0,0.0
12,12,0.0,0.0
13,13,1.0,0.07142857142857142
14,14,-1.0,0.0
15,15,1.0,0.0625
16,16,0.0,0.058823529411764705
17,17,1.0,0.1111111111111111
18,18,0.0,0.10526315789473684
19,19,0.0,0.1
20,20,-2.0,0.0
21,21,-1.0,-0.045454545454545456
22,22,0.0,-0.043478260869565216
23,23,-1.0,-0.08333333333333333
24,24,0.0,-0.08
25,25,0.0,-0.07692307692307693
26,26,0.0,-0.07407407407407407
27,27,1.0,-0.03571428571428571
28,28,-2.0,-0.10344827586206896
29,29,0.0,-0.1
30,30,0.0,-0.0967741935483871
31,31,-1.0,-0.125
32,32,1.0,-0.09090909090909091
33,33,1.0,-0.058823529411764705
34,34,0.0,-0.05714285714285714
35,35,-1.0,-0.08333333333333333
36,36,0.0,-0.08108108108108109
37,37,0.0,-0.07894736842105263
38,38,1.0,-0.05128205128205128
39,39,0.0,-0.05
40,40,-1.0,-0.07317073170731707
41,41,0.0,-0.07142857142857142
42,42,0.0,-0.06976744186046512
43,43,2.0,-0.022727272727272728
44,44,-2.0,-0.06666666666666667
45,45,1.0,-0.043478260869565216
46,46,0.0,-0.0425531914893617
47,47,-1.0,-0.0625
48,48,-1.0,-0.08163265306122448
49,49,1.0,-0.06
50,50,1.0,-0.0392156862745098
51,51,0.0,-0.038461538461538464
52,52,0.0,-0.03773584905660377
53,53,-1.0,-0.05555555555555555
54,54,-1.0,-0.07272727272727272
55,55,1.0,-0.05357142857142857
56,56,-2.0,-0.08771929824561403
57,57,0.0,-0.08620689655172414
58,58,1.0,-0.06779661016949153
59,59,3.0,-0.016666666666666666
60,60,4.0,0.04918032786885246
61,61,-1.0,0.03225806451612903
62,62,1.0,0.047619047619047616
63,63,1.0,0.0625
64,64,0.0,0.06153846153846154
65,65,3.0,0.10606060606060606
66,66,0.0,0.1044776119402985
67,67,0.0,0.10294117647058823
68,68,2.0,0.13043478260869565
69,69,0.0,0.12857142857142856
70,70,-1.0,0.11267605633802817
71,71,3.0,0.1527777777777778
72,72,-1.0,0.136986301369863
73,73,6.0,0.21621621621621623
74,74,2.0,0.24
75,75,2.0,0.2631578947368421
76,76,0.0,0.2597402597402597
77,77,1.0,0.2692307692307692
78,78,1.0,0.27848101265822783
79,79,0.0,0.275
80,80,0.0,0.2716049382716049
81,81,-1.0,0.25609756097560976
82,82,0.0,0.25301204819277107
83,83,-1.0,0.23809523809523808
84,84,-1.0,0.2235294117647059
85,85,1.0,0.23255813953488372
86,86,2.0,0.25287356321839083
87,87,2.0,0.2727272727272727
88,88,1.0,0.2808988764044944
89,89,1.0,0.28888888888888886
90,90,-2.0,0.26373626373626374
91,91,-1.0,0.25
92,92,1.0,0.25806451612903225
93,93,1.0,0.26595744680851063
94,94,0.0,0.2631578947368421
95,95,-2.0,0.23958333333333334
96,96,0.0,0.23711340206185566
97,97,1.0,0.24489795918367346
98,98,1.0,0.25252525252525254
99,99,-1.0,0.24
100,100,0.0,0.23
101,101,1.0,0.24
102,102,3.0,0.27
103,103,-1.0,0.25
104,104,0.0,0.25
105,105,2.0,0.27
106,106,1.0,0.29
107,107,1.0,0.31
108,108,-1.0,0.32
109,109,2.0,0.34
110,110,1.0,0.34
111,111,0.0,0.33
112,112,1.0,0.34
113,113,0.0,0.33
114,114,3.0,0.37
115,115,-1.0,0.35
116,116,-1.0,0.34
117,117,1.0,0.34
118,118,0.0,0.34
119,119,2.0,0.36
120,120,1.0,0.39
121,121,4.0,0.44
122,122,2.0,0.46
123,123,0.0,0.47
124,124,4.0,0.51
125,125,1.0,0.52
126,126,1.0,0.53
127,127,0.0,0.52
128,128,8.0,0.62
129,129,0.0,0.62
130,130,0.0,0.62
131,131,1.0,0.64
132,132,0.0,0.63
133,133,0.0,0.62
134,134,1.0,0.63
135,135,3.0,0.67
136,136,1.0,0.68
137,137,3.0,0.71
138,138,1.0,0.71
139,139,1.0,0.72
140,140,3.0,0.76
141,141,3.0,0.79
142,142,-1.0,0.78
143,143,2.0,0.78
144,144,0.0,0.8
145,145,3.0,0.82
146,146,1.0,0.83
147,147,0.0,0.84
148,148,2.0,0.87
149,149,0.0,0.86
150,150,0.0,0.85
151,151,1.0,0.86
152,152,4.0,0.9
153,153,3.0,0.94
154,154,4.0,0.99
155,155,2.0,1.0
156,156,2.0,1.04
157,157,1.0,1.05
158,158,3.0,1.07
159,159,4.0,1.08
160,160,3.0,1.07
161,161,1.0,1.09
162,162,2.0,1.1
163,163,2.0,1.11
164,164,0.0,1.11
165,165,3.0,1.11
166,166,0.0,1.11
167,167,6.0,1.17
168,168,5.0,1.2
169,169,6.0,1.26
170,170,3.0,1.3
171,171,0.0,1.27
172,172,3.0,1.31
173,173,3.0,1.28
174,174,2.0,1.28
175,175,2.0,1.28
176,176,1.0,1.29
177,177,6.0,1.34
178,178,3.0,1.36
179,179,3.0,1.39
180,180,8.0,1.47
181,181,6.0,1.54
182,182,1.0,1.55
183,183,3.0,1.59
184,184,3.0,1.63
185,185,-1.0,1.61
186,186,6.0,1.65
187,187,7.0,1.7
188,188,4.0,1.73
189,189,5.0,1.77
190,190,10.0,1.89
191,191,2.0,1.92
192,192,8.0,1.99
193,193,3.0,2.01
194,194,3.0,2.04
195,195,3.0,2.09
196,196,-1.0,2.08
197,197,8.0,2.15
198,198,4.0,2.18
199,199,6.0,2.25
200,200,1.0,2.26
201,201,1.0,2.26
202,202,9.0,2.32
203,203,5.0,2.38
204,204,5.0,2.43
205,205,5.0,2.46
206,206,5.0,2.5
207,207,5.0,2.54
208,208,2.0,2.57
209,209,9.0,2.64
210,210,5.0,2.68
211,211,4.0,2.72
212,212,4.0,2.75
213,213,2.0,2.77
214,214,6.0,2.8
215,215,4.0,2.85
216,216,4.0,2.9
217,217,1.0,2.9
218,218,7.0,2.97
219,219,8.0,3.03
220,220,8.0,3.1
221,221,5.0,3.11
222,222,3.0,3.12
223,223,1.0,3.13
224,224,8.0,3.17
225,225,6.0,3.22
226,226,7.0,3.28
227,227,6.0,3.34
228,228,4.0,3.3
229,229,9.0,3.39
230,230,0.0,3.39
231,231,6.0,3.44
232,232,5.0,3.49
233,233,2.0,3.51
234,234,0.0,3.5
235,235,10.0,3.57
236,236,3.0,3.59
237,237,9.0,3.65
238,238,8.0,3.72
239,239,0.0,3.71
240,240,6.0,3.74
241,241,2.0,3.73
