,episode,score,avg_score
0,0,12.0,12.0
1,1,19.0,15.5
2,2,13.0,14.666666666666666
3,3,18.0,15.5
4,4,13.0,15.0
5,5,20.0,15.833333333333334
6,6,10.0,15.0
7,7,12.0,14.625
8,8,15.0,14.666666666666666
9,9,14.0,14.6
10,10,13.0,14.454545454545455
11,11,24.0,15.25
12,12,11.0,14.923076923076923
13,13,10.0,14.571428571428571
14,14,11.0,14.333333333333334
15,15,18.0,14.5625
16,16,12.0,14.411764705882353
17,17,13.0,14.333333333333334
18,18,16.0,14.421052631578947
19,19,13.0,14.35
20,20,9.0,14.095238095238095
21,21,17.0,14.227272727272727
22,22,17.0,14.347826086956522
23,23,14.0,14.333333333333334
24,24,16.0,14.4
25,25,17.0,14.5
26,26,15.0,14.518518518518519
27,27,19.0,14.678571428571429
28,28,18.0,14.793103448275861
29,29,14.0,14.766666666666667
30,30,11.0,14.64516129032258
31,31,16.0,14.6875
32,32,17.0,14.757575757575758
33,33,14.0,14.735294117647058
34,34,14.0,14.714285714285714
35,35,20.0,14.86111111111111
36,36,15.0,14.864864864864865
37,37,16.0,14.894736842105264
38,38,12.0,14.820512820512821
39,39,15.0,14.825
40,40,19.0,14.926829268292684
41,41,19.0,15.023809523809524
42,42,14.0,15.0
43,43,10.0,14.886363636363637
44,44,14.0,14.866666666666667
45,45,20.0,14.978260869565217
46,46,19.0,15.063829787234043
47,47,3.0,14.8125
48,48,16.0,14.83673469387755
49,49,18.0,14.9
50,50,19.0,14.980392156862745
51,51,16.0,15.0
52,52,15.0,15.0
53,53,17.0,15.037037037037036
54,54,3.0,14.818181818181818
55,55,12.0,14.767857142857142
56,56,14.0,14.75438596491228
57,57,13.0,14.724137931034482
58,58,16.0,14.745762711864407
59,59,15.0,14.75
60,60,24.0,14.901639344262295
61,61,18.0,14.951612903225806
62,62,14.0,14.936507936507937
63,63,16.0,14.953125
64,64,11.0,14.892307692307693
65,65,18.0,14.93939393939394
66,66,7.0,14.82089552238806
67,67,17.0,14.852941176470589
68,68,18.0,14.898550724637682
69,69,15.0,14.9
70,70,17.0,14.929577464788732
71,71,16.0,14.944444444444445
72,72,15.0,14.945205479452055
73,73,11.0,14.891891891891891
74,74,17.0,14.92
75,75,21.0,15.0
76,76,19.0,15.051948051948052
77,77,17.0,15.076923076923077
78,78,17.0,15.10126582278481
79,79,18.0,15.1375
80,80,11.0,15.08641975308642
81,81,12.0,15.048780487804878
82,82,17.0,15.072289156626505
83,83,15.0,15.071428571428571
84,84,15.0,15.070588235294117
85,85,15.0,15.069767441860465
86,86,15.0,15.068965517241379
87,87,12.0,15.034090909090908
88,88,17.0,15.0561797752809
89,89,18.0,15.088888888888889
90,90,17.0,15.10989010989011
91,91,15.0,15.108695652173912
92,92,14.0,15.096774193548388
93,93,11.0,15.053191489361701
94,94,16.0,15.063157894736841
95,95,14.0,15.052083333333334
96,96,14.0,15.041237113402062
97,97,14.0,15.03061224489796
98,98,17.0,15.05050505050505
99,99,18.0,15.08
100,100,18.0,15.14
101,101,11.0,15.06
102,102,21.0,15.14
103,103,15.0,15.11
104,104,24.0,15.22
105,105,18.0,15.2
106,106,18.0,15.28
107,107,16.0,15.32
108,108,11.0,15.28
109,109,19.0,15.33
110,110,11.0,15.31
111,111,15.0,15.22
112,112,12.0,15.23
113,113,13.0,15.26
114,114,16.0,15.31
115,115,15.0,15.28
116,116,16.0,15.32
117,117,19.0,15.38
118,118,16.0,15.38
119,119,15.0,15.4
120,120,19.0,15.5
121,121,16.0,15.49
122,122,17.0,15.49
123,123,17.0,15.52
124,124,17.0,15.53
125,125,13.0,15.49
