,episode,score,avg_score
0,0,-1.0,-1.0
1,1,1.0,0.0
2,2,-1.0,-0.3333333333333333
3,3,0.0,-0.25
4,4,-1.0,-0.4
5,5,0.0,-0.3333333333333333
6,6,0.0,-0.2857142857142857
7,7,-1.0,-0.375
8,8,2.0,-0.1111111111111111
9,9,0.0,-0.1
10,10,0.0,-0.09090909090909091
11,11,-1.0,-0.16666666666666666
12,12,0.0,-0.15384615384615385
13,13,1.0,-0.07142857142857142
14,14,1.0,0.0
15,15,1.0,0.0625
16,16,0.0,0.058823529411764705
17,17,0.0,0.05555555555555555
18,18,0.0,0.05263157894736842
19,19,-2.0,-0.05
20,20,-1.0,-0.09523809523809523
21,21,1.0,-0.045454545454545456
22,22,0.0,-0.043478260869565216
23,23,1.0,0.0
24,24,2.0,0.08
25,25,1.0,0.11538461538461539
26,26,1.0,0.14814814814814814
27,27,0.0,0.14285714285714285
28,28,0.0,0.13793103448275862
29,29,0.0,0.13333333333333333
30,30,-1.0,0.0967741935483871
31,31,-1.0,0.0625
32,32,2.0,0.12121212121212122
33,33,-1.0,0.08823529411764706
34,34,1.0,0.11428571428571428
35,35,1.0,0.1388888888888889
36,36,-1.0,0.10810810810810811
37,37,-2.0,0.05263157894736842
38,38,0.0,0.05128205128205128
39,39,2.0,0.1
40,40,1.0,0.12195121951219512
41,41,0.0,0.11904761904761904
42,42,1.0,0.13953488372093023
43,43,0.0,0.13636363636363635
44,44,-1.0,0.1111111111111111
45,45,-2.0,0.06521739130434782
46,46,2.0,0.10638297872340426
47,47,1.0,0.125
48,48,-1.0,0.10204081632653061
49,49,0.0,0.1
50,50,1.0,0.11764705882352941
51,51,0.0,0.11538461538461539
52,52,0.0,0.11320754716981132
53,53,-1.0,0.09259259259259259
54,54,-2.0,0.05454545454545454
55,55,2.0,0.08928571428571429
56,56,0.0,0.08771929824561403
57,57,2.0,0.1206896551724138
58,58,1.0,0.13559322033898305
59,59,0.0,0.13333333333333333
60,60,-1.0,0.11475409836065574
61,61,0.0,0.11290322580645161
62,62,0.0,0.1111111111111111
63,63,0.0,0.109375
64,64,-1.0,0.09230769230769231
65,65,1.0,0.10606060606060606
66,66,0.0,0.1044776119402985
67,67,1.0,0.11764705882352941
68,68,1.0,0.13043478260869565
69,69,0.0,0.12857142857142856
70,70,-2.0,0.09859154929577464
71,71,1.0,0.1111111111111111
72,72,1.0,0.1232876712328767
73,73,0.0,0.12162162162162163
74,74,1.0,0.13333333333333333
75,75,1.0,0.14473684210526316
76,76,0.0,0.14285714285714285
77,77,0.0,0.14102564102564102
78,78,1.0,0.1518987341772152
79,79,-1.0,0.1375
80,80,-1.0,0.12345679012345678
81,81,1.0,0.13414634146341464
82,82,0.0,0.13253012048192772
83,83,0.0,0.13095238095238096
84,84,-1.0,0.11764705882352941
85,85,2.0,0.13953488372093023
86,86,0.0,0.13793103448275862
87,87,2.0,0.1590909090909091
88,88,0.0,0.15730337078651685
89,89,0.0,0.15555555555555556
90,90,2.0,0.17582417582417584
91,91,-2.0,0.15217391304347827
92,92,6.0,0.21505376344086022
93,93,1.0,0.22340425531914893
94,94,-1.0,0.21052631578947367
95,95,1.0,0.21875
96,96,-1.0,0.20618556701030927
97,97,-1.0,0.19387755102040816
98,98,0.0,0.1919191919191919
99,99,0.0,0.19
100,100,-1.0,0.19
101,101,2.0,0.2
102,102,0.0,0.21
103,103,0.0,0.21
104,104,2.0,0.24
105,105,4.0,0.28
106,106,-3.0,0.25
107,107,-3.0,0.23
108,108,1.0,0.22
109,109,2.0,0.24
110,110,1.0,0.25
111,111,1.0,0.27
112,112,-2.0,0.25
113,113,2.0,0.26
114,114,0.0,0.25
115,115,2.0,0.26
116,116,0.0,0.26
117,117,-1.0,0.25
118,118,3.0,0.28
119,119,0.0,0.3
120,120,3.0,0.34
121,121,1.0,0.34
122,122,-2.0,0.32
123,123,5.0,0.36
124,124,0.0,0.34
125,125,0.0,0.33
126,126,2.0,0.34
127,127,2.0,0.36
128,128,2.0,0.38
129,129,2.0,0.4
130,130,0.0,0.41
131,131,1.0,0.43
132,132,1.0,0.42
133,133,0.0,0.43
134,134,-1.0,0.41
135,135,1.0,0.41
136,136,1.0,0.43
137,137,0.0,0.45
138,138,2.0,0.47
139,139,1.0,0.46
140,140,1.0,0.46
141,141,-3.0,0.43
142,142,-1.0,0.41
143,143,1.0,0.42
144,144,2.0,0.45
145,145,1.0,0.48
146,146,0.0,0.46
147,147,1.0,0.46
148,148,0.0,0.47
149,149,0.0,0.47
150,150,2.0,0.48
151,151,0.0,0.48
152,152,2.0,0.5
153,153,2.0,0.53
154,154,-3.0,0.52
155,155,2.0,0.52
156,156,-3.0,0.49
157,157,0.0,0.47
158,158,1.0,0.47
159,159,1.0,0.48
160,160,1.0,0.5
161,161,4.0,0.54
162,162,5.0,0.59
163,163,0.0,0.59
164,164,1.0,0.61
165,165,2.0,0.62
166,166,0.0,0.62
167,167,4.0,0.65
168,168,1.0,0.65
169,169,7.0,0.72
170,170,1.0,0.75
171,171,1.0,0.75
172,172,2.0,0.76
173,173,0.0,0.76
174,174,0.0,0.75
175,175,7.0,0.81
176,176,1.0,0.82
177,177,1.0,0.83
178,178,1.0,0.83
179,179,-1.0,0.83
180,180,0.0,0.84
181,181,0.0,0.83
182,182,2.0,0.85
183,183,4.0,0.89
184,184,0.0,0.9
185,185,2.0,0.9
186,186,1.0,0.91
187,187,1.0,0.9
188,188,4.0,0.94
189,189,5.0,0.99
190,190,1.0,0.98
191,191,2.0,1.02
192,192,-1.0,0.95
193,193,1.0,0.95
194,194,0.0,0.96
195,195,0.0,0.95
196,196,0.0,0.96
197,197,-2.0,0.95
198,198,-1.0,0.94
199,199,5.0,0.99
200,200,-1.0,0.99
201,201,1.0,0.98
202,202,2.0,1.0
203,203,2.0,1.02
204,204,4.0,1.04
205,205,1.0,1.01
206,206,-1.0,1.03
207,207,2.0,1.08
208,208,1.0,1.08
209,209,1.0,1.07
210,210,4.0,1.1
211,211,4.0,1.13
212,212,0.0,1.15
213,213,9.0,1.22
214,214,4.0,1.26
215,215,2.0,1.26
216,216,6.0,1.32
217,217,6.0,1.39
218,218,4.0,1.4
219,219,1.0,1.41
220,220,1.0,1.39
221,221,1.0,1.39
222,222,0.0,1.41
223,223,0.0,1.36
224,224,3.0,1.39
225,225,0.0,1.39
226,226,2.0,1.39
227,227,3.0,1.4
228,228,4.0,1.42
229,229,6.0,1.46
230,230,3.0,1.49
231,231,8.0,1.56
232,232,1.0,1.56
233,233,2.0,1.58
234,234,3.0,1.62
235,235,-2.0,1.59
236,236,0.0,1.58
237,237,5.0,1.63
238,238,-1.0,1.6
239,239,1.0,1.6
240,240,7.0,1.66
241,241,3.0,1.72
242,242,4.0,1.77
243,243,1.0,1.77
244,244,5.0,1.8
245,245,2.0,1.81
246,246,5.0,1.86
247,247,5.0,1.9
248,248,2.0,1.92
249,249,2.0,1.94
250,250,9.0,2.01
251,251,0.0,2.01
252,252,0.0,1.99
253,253,2.0,1.99
254,254,2.0,2.04
255,255,0.0,2.02
256,256,2.0,2.07
257,257,3.0,2.1
258,258,6.0,2.15
259,259,4.0,2.18
260,260,8.0,2.25
261,261,3.0,2.24
262,262,7.0,2.26
263,263,6.0,2.32
264,264,3.0,2.34
265,265,6.0,2.38
266,266,8.0,2.46
267,267,4.0,2.46
268,268,1.0,2.46
269,269,4.0,2.43
270,270,8.0,2.5
271,271,6.0,2.55
272,272,2.0,2.55
273,273,2.0,2.57
274,274,6.0,2.63
275,275,7.0,2.63
276,276,4.0,2.66
277,277,7.0,2.72
278,278,6.0,2.77
279,279,4.0,2.82
280,280,1.0,2.83
281,281,2.0,2.85
282,282,3.0,2.86
283,283,3.0,2.85
284,284,11.0,2.96
285,285,1.0,2.95
286,286,1.0,2.95
287,287,4.0,2.98
288,288,4.0,2.98
289,289,6.0,2.99
290,290,3.0,3.01
291,291,8.0,3.07
292,292,2.0,3.1
